Position,Name,Prospect,School,Height,Weight,Arm length,Hand size,Wingspan,40-yard dash,10-yard split,Bench,Vertical,Broad,Shuttle,3- cone,Att,RushYds,RushAvg,RushTD,Rec,RecYds,RecAvg,RecTD,YP
RB,Israel Abanikanda,1,Pittsburgh,511,216,32,8.25,76,,,,,,,,390,2177,5.6,28,38,354,9.3,3,3
RB,Devon Achane,1,Texas A&M,5085,188,29,8.5,69.125,4.32,1.51,,33,,,,369,2376,6.4,21,65,554,8.5,5,3
RB,Tank Bigsby,1,Auburn,600,210,32,9.5,76.625,4.56,1.54,21,32.5,119,,,540,2903,5.4,25,62,448,7.2,0,3
RB,Chase Brown,1,Illinois,5095,209,31,10,75.125,4.43,1.53,25,40,127,,,676,3358,5.3,18,58,521,9,3,5
RB,Zach Charbonnet,1,UCLA,600,214,32,9.875,75.625,4.53,1.54,18,37,122,,,566,3346,5.9,39,75,589,7.9,0,4
RB,Travis Dye,1,USC,510,201,28.875,9.25,70.25,,,,,,,,666,3995,6,30,104,1071,10.3,8,5
RB,Zach Evans,1,Mississippi,511,202,31.625,10.25,,,,,,,,,290,1999,6.9,18,30,325,10.8,2,3
RB,Jahmyr Gibbs,1,Alabama,509,199,30.5,9.25,74.125,4.36,1.52,,33.5,,,,383,2132,5.6,15,103,1212,11.8,8,3
RB,Eric Gray,1,Oklahoma,5095,207,29.625,9.75,71.375,,,,37.5,118,,,549,3089,5.6,21,99,827,8.4,5,4
RB,Evan Hull,1,Northwestern,510,209,30.625,9.25,74.375,4.47,1.53,21,37,123,4.38,6.9,488,2417,5,18,94,851,9.1,4,4
RB,Mohamed Ibrahim,1,Minnesota,508,203,28.625,9,69.625,,,,,,,,867,4668,5.4,53,22,145,6.6,0,5
RB,Roschon Johnson,1,Texas,600,219,32,9.625,76.875,4.58,1.52,,31.5,122,,,392,2190,5.6,23,56,420,7.5,3,4
RB,DeWayne McBride,1,UAB,510,209,30.625,9.5,73.125,,,,,,,,484,3523,7.3,36,5,29,5.8,0,3
RB,Kenny McIntosh,1,Georgia,600,204,30.5,9,76.375,4.62,1.54,,,,,,279,1582,5.7,16,76,861,11.3,4,4
RB,Kendre Miller,1,TCU,511,215,32.375,9.375,78.5,,,,,,,,361,2410,6.7,26,29,229,7.9,1,3
RB,Keaton Mitchell,1,East Carolina,508,179,30.75,9.25,74.75,4.37,1.48,,38,126,,,463,3027,6.5,25,60,580,9.7,3,3
RB,Cam Peoples,1,Appalachian State,601,217,32.625,9.75,78.625,4.61,1.56,,37,121,,,455,2830,6.2,33,11,77,7,0,5
RB,Deneric Prince,1,Tulsa,600,216,31.25,9.25,75,4.41,1.53,,35.5,124,,,316,1749,5.5,14,17,162,9.5,1,4
RB,Bijan Robinson,1,Texas,511,215,31.125,9.75,74.75,4.46,1.52,,37,124,,,539,3410,6.3,33,60,805,13.4,8,3
RB,Chris Rodriguez Jr.,1,Kentucky,600,217,30.625,8.625,73.625,,,19,,,,,592,3643,6.2,33,20,116,5.8,3,5
RB,Tyjae Spears,1,Tulane,510,201,30.75,10,74.125,,,18,39,125,,,427,2910,6.8,31,48,564,11.8,3,4
RB,Tavion Thomas,1,Utah,600,237,31.125,9.25,76,4.74,1.62,,30,118,,,475,2484,5.2,35,10,50,5,0,4
RB,SaRodorick Thompson,1,Texas Tech,5115,207,31.625,9,77,4.67,1.56,,32.5,120,4.7,7.25,540,2664,4.9,40,91,526,5.8,1,5
RB,Sean Tucker,1,Syracuse,509,207,30,9.5,73.375,,,,,,,,589,3182,5.4,27,64,622,9.7,4,3
RB,Deuce Vaughn,1,Kansas State,505,179,27.75,9.5,67,,,17,35.5,116,,,651,3604,5.5,34,116,1280,11,9,3
RB,Breece Hall,0,Iowa State,511,217,31.25,9.75,75.875,4.39,1.54,,40,126,,,718,3941,5.5,50,82,734,9,6,3
RB,Dameon Pierce,0,Florida,510,218,30.75,9.375,73.625,4.59,1.51,21,34.5,119,,,329,1806,5.5,23,45,422,9.4,5,4
RB,Isaiah Pacheco,0,Rutgers,510,216,30.5,9.25,73.875,4.37,1.55,,33,118,,,563,2442,4.3,18,47,249,5.3,1,4
RB,Kenneth Walker,0,Michigan State,509,211,30.375,9.5,73,4.38,1.49,,34,122,,,480,2794,5.8,35,19,136,7.2,1,3
RB,Felix Jones,0,Arkansas,510,207,,,,4.44,,,33.5,124,4.19,,386,2956,7.7,20,39,383,9.8,3,3
RB,Miles Sanders,0,Penn State,510,211,30.675,9.25,74.675,4.49,,20,36,124,4.19,6.89,276,1649,6,12,32,193,6,1,3
RB,Saquon Barkley,0,Penn State,600,233,31.375,9.5,74.25,4.4,,29,41,,4.24,,671,3843,5.7,43,102,1195,11.7,8,3
RB,Nick Chubb,0,Georgia,510,227,32,9.625,73.625,4.52,,29,38.5,128,4.25,,758,4769,6.3,44,31,361,11.6,4,4
RB,Ezekiel Elliott,0,Ohio State,600,225,31.25,10.25,,4.47,1.58,,32.5,118,,,592,3961,6.7,43,58,449,7.7,1,3
RB,Christian McCaffrey,0,Stanford,511,202,30,9,,4.48,,10,37.5,121,4.22,6.57,632,3922,6.2,21,99,1206,12.2,10,3
RB,Kenjon Barner,0,Oregon,509,196,29.675,9.125,,4.52,1.6,20,35.5,122,4.2,6.87,582,3623,6.2,41,54,591,10.9,7,4
RB,Mike Bell,0,Nevada,509,206,,,,4.65,,21,36,112,4.23,7.1,679,3154,4.6,17,56,465,8.3,1,4
RB,Alvin Kamara,0,Tennessee,510,214,32.75,9.25,,4.56,,15,39.5,131,,,210,1294,6.2,16,74,683,9.2,7,2
RB,Derrick Henry,0,Alabama,6.3,247,33,8.75,,4.54,1.6,22,37,130,4.38,7.2,602,3591,6,42,17,285,16.8,3,3
RB,Marlon Mack,0,South Florida,511,213,32,9,,4.5,,15,35.5,125,,,586,3609,6.2,32,65,498,7.7,1,3
RB,Dare Ogunbowale,0,Wisconsin,511,213,31.375,9.125,,4.65,,14,35,120,4.34,6.99,319,1518,4.8,13,60,507,8.5,2,2
RB,Dalvin Cook,0,Florida State,510,210,32.375,9.25,,4.49,,22,30.5,116,4.53,7.27,687,4464,6.5,46,79,935,11.8,2,3
RB,Mark Ingram,0,Alabama,509,215,30.75,9.5,,4.62,,21,31.5,113,4.62,,572,3261,5.7,42,60,670,11.2,4,3
RB,Deejay Dallas,0,Miami,510,217,30.675,9.25,,4.58,,19,33.5,119,4.32,7.18,265,1527,5.8,17,28,317,11.3,2,3
RB,Aaron Jones,0,UTEP,509,208,32.5,9.5,,4.56,,16,37.5,127,4.2,6.82,658,4114,6.3,33,71,646,9.1,7,4
RB,Tyler Allgeier,0,BYU,511,224,74.5,9.675,74.5,4.6,1.59,,33,120,,,425,2899,6.4,36,46,437,9.5,1,4
RB,Tyler Badie,0,Missouri,508,197,71.375,29.375,71.375,4.45,1.54,,33.5,121,,,513,2740,5.3,23,126,1149,9.1,11,4
RB,James Cook,0,Georgia,511,199,76.25,9.375,76.25,4.42,1.55,,33,124,,,230,1503,6.5,14,67,730,10.9,6,4
RB,Tyrion Davis-Price,0,LSU,600,211,75.675,9.25,75.675,4.48,1.54,,30,117,,,379,1744,4.6,15,28,185,6.6,0,3
RB,Jerrion Ealy,0,Mississippi,508,189,29.125,8.5,72.25,4.52,1.55,,34.5,128,,,384,2235,5.8,20,67,545,8.1,4,3
RB,Zonovan Knight,0,North Carolina St.,511,209,30.5,9.25,73.5,4.58,1.58,,31,114,,,419,2286,5.5,18,48,337,7,0,3
RB,Brian Robinson,0,Alabama,602,225,31.875,9.75,76.375,4.53,1.59,,30,119,,,545,2704,5,29,52,446,8.6,2,5
RB,Pierre Strong,0,South Dakota St.,511,207,31.875,9.25,75.875,4.37,1.5,,36,124,,,631,4527,7.2,40,62,581,9.4,3,4
RB,Kenneth Walker,0,Michigan St.,509,211,30.375,9.5,73,4.38,1.49,,34,122,,,480,2794,5.8,35,19,136,7.2,1,3
RB,Jaylen Warren,0,Oklahoma St.,508,204,29.875,9.25,70.75,4.55,1.54,,31.5,119,,,407,2037,5,19,45,440,9.8,0,3
RB,Rachaad White,0,Arizona St.,600,214,31.25,9.75,75.375,4.48,1.59,,38,125,,,224,1420,6.3,20,51,607,11.9,2,2
RB,Rakeem Boyd,0,Arkansas,511,213,32.5,8.675,76.5,4.7,1.6,6,32.5,98,4.38,7.22,389,2176,5.6,13,52,358,6.9,0,3
RB,Gary Brightwell,0,Arizona,510,218,31,9.75,74.25,4.62,1.62,17,34.5,118,4.48,7.51,245,1305,5.3,9,19,121,6.4,1,4
RB,Michael Carter,0,North Carolina,507,201,29.125,8.75,73.375,4.5,1.65,16,34,119,3.98,6.81,514,3404,6.6,22,82,656,8,6,4
RB,Travis Etienne,0,Clemson,510,215,30.125,9.375,73.125,4.45,1.56,18,33.5,128,,,686,4952,7.2,70,102,1155,11.3,8,4
RB,Chris Evans,0,Michigan,511,211,32.5,10,76,4.5,1.51,20,40.5,127,4.12,6.83,320,1795,5.6,15,49,479,9.8,2,4
RB,Demetric Felton,0,UCLA,508,189,31.375,9.375,76.675,4.55,1.62,10,31.5,114,4.5,7.31,233,1101,4.7,7,99,958,9.7,8,4
RB,Jake Funk,0,Maryland,510,204,30.25,9,72.5,4.49,1.5,22,38,122,4.12,6.71,135,968,7.2,10,23,134,5.8,3,5
RB,Kenneth Gainwell,0,Memphis,508,201,30.675,9.875,70.25,4.42,1.62,21,35,121,4.46,7.26,235,1550,6.6,14,57,662,11.6,3,2
RB,Khalil Herbert,0,Virginia Tech,508,210,31.25,8.675,73.875,4.46,1.62,22,33,115,4.31,6.96,475,2918,6.1,22,34,297,8.7,1,5
RB,Kylin Hill,0,Mississippi St.,510,214,30.5,9.675,73.675,4.51,1.6,22,36,122,4.35,7.13,452,2535,5.6,16,67,631,9.4,6,4
RB,Chuba Hubbard,0,Oklahoma St.,600,210,32,9,75.75,4.48,1.56,20,36,120,4.26,7.24,585,3459,5.9,33,53,479,9,3,3
RB,Deon Jackson,0,Duke,511,218,30.25,9.25,73.25,4.41,1.51,18,36,123,4.37,7.15,526,2267,4.3,18,61,534,8.8,4,4
RB,Jermar Jefferson,0,Oregon St.,510,206,30.5,9.675,74.25,4.57,1.59,13,31,115,4.38,7.38,514,2923,5.7,27,43,299,7,2,3
RB,Josh Johnson,0,La-Monroe,508,209,29.675,8.75,71.875,4.61,1.63,22,35.5,115,4.4,7.16,307,1685,5.5,16,31,183,5.9,1,3
RB,Elijah Mitchell,0,Louisiana,510,201,31,9.75,75.75,4.38,1.51,17,37.5,128,4.19,6.94,527,3267,6.2,41,49,597,12.2,5,4
RB,Jaret Patterson,0,Buffalo,506,195,28.75,9.25,68.75,4.59,1.58,19,30,117,4.35,7.03,636,3884,6.1,52,20,271,13.6,1,3
RB,Larry Rountree,0,Missouri,510,211,30.75,9.125,73.875,4.62,1.73,18,30,108,4.47,6.96,746,3720,5,40,47,289,6.1,0,4
RB,Trey Sermon,0,Ohio St.,600,215,33.375,9.375,79,4.57,1.49,,37,125,4.28,6.83,455,2946,6.5,26,48,486,10.1,3,4
RB,Rhamondre Stevenson,0,Oklahoma,511,231,30.25,9,75,4.64,1.67,15,31.5,112,4.15,7.09,165,1180,7.2,13,28,298,10.6,0,2
RB,Salvon Ahmed,0,Washington,511,197,29.25,8.75,,4.62,,,34.5,120,,,353,2016,5.7,21,50,331,6.6,0,3
RB,Cam Akers,0,Florida State,510,217,30.675,9,,4.47,,20,35.5,122,4.42,,586,2875,4.9,27,69,486,7,7,3
RB,Eno Benjamin,0,Arizona State,509,207,31.25,8.675,,4.57,,12,39,122,4.25,6.97,576,2867,5,27,82,625,7.6,4,3
RB,Raymond Calais,0,Louisiana-Lafayette,508,188,30,9.25,,4.42,,20,37.5,120,,,236,1845,7.8,15,17,145,8.5,1,4
RB,DeeJay Dallas,0,Miami,510,217,30.675,9.25,,4.58,,,33.5,119,4.32,7.18,265,1527,5.8,17,28,317,11.3,2,3
RB,AJ Dillon,0,Boston College,600,247,31.675,9.675,,4.53,,23,41,131,,7.19,845,4382,5.2,38,21,236,11.2,2,3
RB,J.K. Dobbins,0,Ohio State,509,209,29.75,9.5,,,,23,,,,,725,4459,6.2,38,71,645,9.1,5,3
RB,Clyde Edwards-Helaire,0,LSU,507,207,29,9.675,,4.6,,15,39.5,123,,,370,2103,5.7,23,69,595,8.6,1,3
RB,Darrynton Evans,0,Appalachian State,510,203,31.675,9.25,,4.41,,20,37,125,,,482,2884,6,25,39,319,8.2,6,3
RB,JaMycal Hasty,0,Baylor,508,205,31.125,9.125,,4.55,,15,39,123,4.03,,386,1998,5.2,15,79,485,6.1,1,4
RB,Brian Herrien,0,Georgia,511,209,29.75,9,,4.62,,18,38.5,126,4.4,7.12,277,1413,5.1,13,28,167,6,2,4
RB,Tony Jones,0,Notre Dame,510,220,30.675,9.5,,4.68,,13,32.5,119,4.21,7.18,271,1481,5.5,12,27,273,10.1,2,3
RB,Joshua Kelley,0,UCLA,511,212,31.675,9.675,,4.49,,23,31,121,4.28,6.95,454,2303,5.1,24,38,264,6.9,1,2
RB,Anthony McFarland,0,Maryland,508,208,30.375,8.875,,4.44,,,29.5,116,,,245,1648,6.7,12,24,199,8.3,1,2
RB,Zack Moss,0,Utah,509,223,31.25,9.25,,4.65,,19,33,,4.37,,712,4067,5.7,38,66,685,10.4,3,4
RB,La'Mical Perine,0,Florida,511,216,31.675,10.25,,4.62,,22,35,118,4.31,7.13,493,2485,5,22,72,674,9.4,8,4
RB,James Robinson,0,Illinois State,509,219,29.675,8.75,,4.64,,24,40,125,4.19,7.03,797,4444,5.575909661,44,58,428,7.4,2,4
RB,D'Andre Swift,0,Georgia,508,212,29.875,9,,4.48,,,35.5,121,,,440,2885,6.6,20,73,666,9.1,5,3
RB,Jonathan Taylor,0,Wisconsin,510,226,31.125,9.5,,4.39,,17,36,123,4.24,7.01,926,6174,6.7,50,42,407,9.7,5,3