Draft Class,Name,School,Position,Height,Weight,Hand Size,Arm Length,Wonderlic,40 Yard Dash,Bench Press,Vertical,Broad Jump,Shuttle,3 Cone,60Yd Shuttle
2023,Malaesala Aumavae-Laulu,Oregon,OT,77.5,317,10.5,34.5,,5.23,18,28.5,106,4.75,7.65,
2023,Matthew Bergeron,Syracuse,OT,77.25,318,9.5,33.75,,,,30.5,103,4.66,7.38,
2023,Earl Bostick,Kansas,OT,77.75,309,9.5,34.13,,5.05,,31,111,,,
2023,McClendon Curtis,Tennessee-Chattanooga,OT,77.88,324,10.25,35,,5.24,25,26.5,105,4.97,7.7,
2023,Jaelyn Duncan,Maryland,OT,77.63,306,9.38,33,,5.1,,31.5,113,,,
2023,Blake Freeland,Brigham Young,OT,79.88,302,10,33.88,,4.98,25,37,120,4.71,7.46,
2023,Connor Galvin,Baylor,OT,78.63,299,9,32.38,,5.48,29,30.5,104,4.92,8,
2023,Richard Gouraige,Florida,OT,77,306,10,34,,,23,,,,,
2023,Ryan Hayes,Michigan,OT,78.38,305,10,32.5,,5.18,,30,103,4.68,7.39,
2023,Paris Johnson,Ohio State,OT,78.38,313,9.5,36.13,,,29,,110,,,
2023,Broderick Jones,Georgia,OT,77.38,313,10.63,34.75,,4.97,,30,108,,,
2023,Dawand Jones,Ohio State,OT,80.25,374,11.63,36.38,,5.35,,,,,,
2023,Jaxson Kirkland,Washington,OT,78.88,321,10.5,33.5,,,19,,,,,
2023,Wanya Morris,Oklahoma,OT,77.38,307,10.25,35.13,,5.1,,28.5,111,,,
2023,John Ojukwu,Boise State,OT,77.75,309,10.75,34,,5.24,26,28.5,104,4.52,7.52,
2023,Nick Saldiveri,Old Dominion (VA),OT,78.25,318,10.25,33.25,,5.21,24,31,111,4.69,,
2023,Tyler Steen,Alabama,OT,78,321,10.5,32.75,,,31,29.5,109,4.59,7.78,
2023,Dalton Wagner,Arkansas,OT,80,320,10.5,34.38,,,24,24.5,102,,,
2023,Carter Warren,Pittsburgh,OT,77.5,311,9.13,35.38,,,,,,,,
2023,Darnell Wright,Tennessee,OT,77.38,333,9,33.75,,5.01,,29,114,4.72,,
2022,Logan Bruss,Wisconsin,OT,77,308,11,33.13,,5.32,,31,112,4.55,7.57,
2022,Charles Cross,Mississippi State,OT,76.75,307,10.75,34.5,,4.95,,26,112,4.61,7.88,
2022,Myron Cunningham,Arkansas,OT,77.63,322,10.5,34.5,,5.38,26,20,98,5.16,8.5,
2022,Austin Deculus,Louisiana State,OT,77,321,9.25,34.38,,5.08,,28.5,109,4.99,,
2022,Kellen Diesch,Arizona State,OT,79.13,301,9.5,32.25,,4.89,,32.5,110,4.43,7.77,
2022,Ikem Ekwonu,North Carolina State,OT,76,310,10.25,34,,4.93,,29,108,4.73,7.82,
2022,Obinna Eze,Texas Christian,OT,78.5,321,9.88,36.13,,5.17,18,27.5,104,5.08,8.2,
2022,Daniel Faalele,Minnesota,OT,80,384,11,35.13,,,24,,,,,
2022,Braxton Jones,Southern Utah,OT,77.25,310,10.25,35.38,,4.97,,25.5,108,4.84,,
2022,Vederian Lowe,Illinois,OT,76.63,310,10.38,35.38,,5.22,22,25.5,99,4.71,7.83,
2022,Abraham Lucas,Washington State,OT,78.38,315,10.5,33.88,,4.92,24,27,107,4.4,7.25,
2022,Cade Mays,Tennessee,OT,76.75,311,10,34.13,,5.24,,26,102,4.71,7.57,
2022,Marcus McKethan,North Carolina,OT,78.5,340,10.5,35.5,,5.31,27,27.5,110,4.99,7.81,
2022,Max Mitchell,Louisiana-Lafayette,OT,78.25,307,10,33.5,,5.32,,25,106,4.65,8.09,
2022,Thayer Munford,Ohio State,OT,77.75,328,10.13,35.13,,5.39,,22,104,,,
2022,Evan Neal,Alabama,OT,79.5,337,10.13,34,,,,,,,,
2022,Trevor Penning,Northern Iowa,OT,79.13,325,10.13,34.25,,4.89,,28,111,4.62,7.25,
2022,Nicholas Petit-Frere,Ohio State,OT,77.13,316,10.75,33.63,,5.14,,24.5,103,,,
2022,Bernhard Raimann,Central Michigan,OT,78.13,303,10.25,32.88,,5.05,30,30.5,117,4.49,7.46,
2022,Dare Rosenthal,Kentucky,OT,78.75,290,9,33.5,,4.88,,,,,,
2022,Tyler Smith,Tulsa (OK),OT,76.88,327,10.63,34.25,,5.02,25,27.5,105,4.65,7.78,
2022,Andrew Stueber,Michigan,OT,78.63,325,10,34.13,,,,24.5,101,4.9,7.94,
2022,Luke Tenuta,Virginia Tech,OT,80,319,10.13,32.88,,5.41,,26,104,4.77,,
2022,Zachary Thomas,San Diego State,OT,76.88,308,10.25,33.88,,4.96,21,22.5,107,4.65,7.4,
2022,Matt Waletzko,North Dakota,OT,79.63,312,10.25,36.13,,5.03,,30,113,,,
2022,Rasheed Walker,Penn State,OT,77.63,313,10.63,33.63,,,,,,,,
2021,Calvin Ashley,Florida A&M,OT,78.13,314,10.125,34.25,,5.55,15,29,105,5,8.46,
2021,Josh Ball,Marshall (WV),OT,79.38,308,10,35,,5.2,28,27.5,106,4.7,7.77,
2021,Spencer Brown,Northern Iowa,OT,80.25,311,10.375,34.75,,4.94,29,31.5,117,4.4,6.96,
2021,Larnel Coleman,Massachusetts,OT,78.25,307,10.375,36.25,,5.17,24,31,113,4.69,7.69,
2021,Samuel Cosmi,Texas,OT,77.88,314,10.25,33,,4.87,36,30,117,4.39,7.35,
2021,Coy Cronk,Iowa,OT,76.63,305,,,,,,,113,,,
2021,Jake Curhan,California,OT,77.88,316,10.25,33,,5.45,15,24,102,4.84,8.07,
2021,Tommy Doyle,Miami (OH),OT,80,320,10.375,35.125,,5.12,24,33.5,111,4.57,7.42,
2021,Liam Eichenberg,Notre Dame,OT,78.13,306,9.625,32.375,,,33,26.5,105,4.57,7.53,
2021,Stone Forsythe,Florida,OT,80,307,10,34.375,,5.13,25,27.5,103,4.63,7.47,
2021,Will Fries,Penn State,OT,78.38,309,10.25,32.875,,5.38,24,31,115,4.51,7.75,
2021,Carson Green,Texas A&M,OT,78.13,320,10.375,34.5,,5.33,23,29.5,108,4.75,7.08,
2021,Devery Hamilton,Duke,OT,78.63,311,10.125,33,,5.27,21,33.5,112,4.89,7.81,
2021,Chandon Herring,Brigham Young,OT,78.75,307,9.25,33.75,,5.05,26,29,113,4.69,7.65,
2021,Alaric Jackson,Iowa,OT,77.5,321,9.5,32.5,,5.4,20,25,103,4.92,7.69,
2021,Brenden Jaimes,Nebraska,OT,77,298,10,32.625,,,25,30.5,112,4.5,7.46,
2021,Teven Jenkins,Oklahoma State,OT,77.88,317,9.5,33.5,,5.01,36,32.5,106,4.68,7.69,
2021,Alex Leatherwood,Alabama,OT,77.13,312,9.5,33.875,,5.01,,34.5,118,4.65,7.45,
2021,Walker Little,Stanford,OT,79.38,313,10.125,33.75,,5.3,24,29.5,111,4.59,7.44,
2021,Jalen Mayfield,Michigan,OT,77.25,326,9.75,32.625,,5.39,,28.5,96,4.91,7.86,
2021,Dan Moore,Texas A&M,OT,77.63,311,10.25,34.5,,5.21,28,30.5,110,4.73,7.56,
2021,Jaylon Moore,Western Michigan,OT,76.13,311,11,33.375,,5.27,27,30.5,106,4.63,7.77,
2021,Dillon Radunz,North Dakota State,OT,77.75,301,9.125,34,,5.16,24,32,112,4.57,7.26,
2021,Penei Sewell,Oregon,OT,76.88,331,10.375,33.25,,5.1,30,28,109,4.68,7.76,
2021,Kyle Spalding,San Diego State,OT,78.5,299,9.625,33,,5.4,18,25.5,101,4.88,7.9,
2021,Cole Van Lanen,Wisconsin,OT,76.25,305,9.75,33.375,,5.11,22,30,107,4.64,7.34,
2021,Gunnar Vogel,Northwestern,OT,78.25,306,10.125,34.25,,5.47,23,26,105,4.92,7.67,
2021,Landon Young,Kentucky,OT,78.13,310,10.125,33.75,,5.18,34,30.5,108,4.89,7.7,
2020,Trey Adams,Washington,OT,80,318,9.88,34.38,,5.6,,24.5,92,,,
2020,Ben Bartch,St. Johns (MN),OT,77.75,309,9,32.88,,,,,,,,
2020,Mekhi Becton,Louisville,OT,79.38,364,10.75,35.63,,5.1,23,,,,,
2020,Tony Brown,Colorado,OT,73,195,9.25,31.5,,4.65,14,33.5,119,4.27,7.21,
2020,Saahdiq Charles,Louisiana State,OT,76.13,321,10,33,,5.05,,,,,,
2020,Ezra Cleveland,Boise State,OT,78,311,9,33.38,,4.93,30,30,111,4.46,7.26,
2020,Jack Driscoll,Auburn,OT,76.63,306,9.88,33,,5.02,23,29.5,114,,,
2020,Yasir Durant,Missouri,OT,78,331,9.5,34.75,,5.52,21,25,,,,
2020,Charlie Heck,North Carolina,OT,79.63,311,10.25,34.13,,5.16,21,28,112,4.86,8.02,
2020,Austin Jackson,Southern California,OT,76.88,322,10.25,34.13,,5.07,27,31,115,,7.95,
2020,Josh Jones,Houston,OT,77,319,10.13,33.88,,5.27,24,28.5,109,,,
2020,Colton McKivitz,West Virginia,OT,78.13,306,10,33.75,,5.35,20,26,106,5,7.87,
2020,Kyle Murphy,Rhode Island,OT,76,302,10,33.88,,5.3,19,28,104,4.68,7.81,
2020,Lucas Niang,Texas Christian,OT,78,315,10.5,34.25,,,,,,,,
2020,Matt Peart,Connecticut,OT,78.63,318,9.5,36.63,,5.06,26,30,113,4.92,8.01,
2020,Jacob Phillips,Louisiana State,OT,75,229,10,32.38,,4.66,,39,126,4.33,7.38,
2020,John Simpson,Clemson,OT,76.13,321,11.25,34.13,,5.24,34,30,107,4.87,8.03,
2020,Terence Steele,Texas Tech,OT,78,310,9.5,35.13,,5.03,27,27.5,106,5.08,,
2020,Alex Taylor,South Carolina State,OT,80.38,308,11.25,36.13,,5.09,21,25,116,4.79,7.77,
2020,Prince Wanogho Tega,Auburn,OT,77,308,10.38,33.5,,,,,,,,
2020,Andrew Thomas,Georgia,OT,77.13,315,10.25,36.13,,5.22,21,30.5,109,4.66,7.58,
2020,Calvin Throckmorton,Oregon,OT,77,317,9.5,32.5,,5.57,23,27,97,4.98,8.07,
2020,Jedrick Wills,Alabama,OT,76.25,312,10,34.25,,5.05,,34.5,113,4.84,,
2020,Isaiah Wilson,Georgia,OT,78.5,350,10.25,35.5,,5.32,26,29,110,5.07,8.26,
2020,Tristan Wirfs,Iowa,OT,76.88,320,10.25,34,,4.85,24,36.5,121,4.68,7.65,
2019,Paul Adams,Missouri,OT,77.88,317,10,33.5,,5.18,16,27,103,4.74,7.68,
2019,Marcus Applefield,Virginia,OT,76.88,304,10.38,32.25,,5.3,32,26.5,108,4.62,7.23,
2019,Kendall Baker,Georgia,OT,76.88,314,9.38,33.5,,,23,,,,,
2019,Jackson Barton,Utah,OT,79.25,310,9.25,34,,5.18,25,27,109,4.66,7.85,
2019,Ryan Bates,Penn State,OT,76.5,306,9.5,32.5,,5.09,28,27,102,4.53,7.45,
2019,Alex Bookser,Pittsburgh,OT,78.13,318,9.13,33.75,,,29,,,,,
2019,Yodny Cajuste,West Virginia,OT,76.88,312,10,34,,,32,,,,,
2019,Tariq Cole,Rutgers,OT,77.75,324,10.75,34.375,,5.43,27,25,105,4.9,7.84,
2019,Dennis Daley,South Carolina,OT,77,317,9.5,33.38,,5.23,20,26.5,103,4.92,7.95,
2019,Andre Dillard,Washington State,OT,77,315,10,33.5,,4.96,24,29,118,4.4,7.44,
2019,Chuma Edoga,Southern California,OT,75.5,308,9.63,34.75,,5.19,21,24.5,108,4.53,7.47,
2019,David Edwards,Wisconsin,OT,78.25,308,9.75,33.38,,5.28,16,25.5,99,4.77,7.69,
2019,Derwin Gray,Maryland,OT,76.5,320,9.63,34.375,,5.26,26,26,90,4.94,8.15,
2019,Donnell Greene,Minnesota,OT,77.25,335,9.5,35.25,,,,,,,,
2019,Blake Hance,Northwestern,OT,77.63,305,10.13,32.125,,5.29,27,27,107,4.69,7.65,
2019,Brandon Hitner,Villanova,OT,78.13,305,10.25,33.875,,5.19,23,32.5,116,4.65,7.67,
2019,Tytus Howard,Alabama State,OT,77,322,10.63,34,,5.05,21,29.5,103,4.87,8.34,
2019,Mitch Hyatt,Clemson,OT,77.38,303,10.25,34.125,,5.29,28,25.5,102,4.52,7.72,
2019,Devon Johnson,Ferris State (MI),OT,79.25,338,9.5,34.75,,5.12,26,27.5,89,5.28,8.34,
2019,Derrick Kelly,Florida State,OT,76.75,307,9.75,34,,5.44,25,28,105,5.03,8.2,
2019,Brandon Knight,Indiana,OT,75.75,314,10,33.375,,,27,,,,,
2019,Patrick Lawrence,Baylor,OT,78.13,303,9.75,34.125,,,,,,,,
2019,Greg Little,Mississippi,OT,77.25,310,10.25,35.25,,5.33,15,25,113,4.74,8.19,
2019,Joe Lowery,Ohio,OT,78.13,300,9.75,32.5,,5.22,23,26.5,101,4.97,8,
2019,Koda Martin,Syracuse,OT,78.63,300,9.5,32.625,,5.19,24,27,102,4.7,7.5,
2019,Kaleb McGary,Washington,OT,79.5,320,10.25,32.875,,5.05,23,33.5,111,4.58,7.66,
2019,Aaron Monteiro,Boston College,OT,78,311,10.25,33.875,,5.31,19,29.5,106,4.77,7.82,
2019,Yosuah Nijman,Virginia Tech,OT,78.75,314,10.13,34.125,,4.88,27,30.5,114,4.5,8.07,
2019,Trey Pipkins,Sioux Falls,OT,78.13,309,9.63,33.875,,5.12,16,33.5,114,4.7,7.61,
2019,Ryan Pope,San Diego State,OT,79,320,11.13,34.25,,5.03,25,28.5,98,5.09,7.85,
2019,Isaiah Prince,Ohio State,OT,78.5,305,10.13,35.5,,5.09,23,27,115,5.02,7.9,
2019,Dalton Risner,Kansas State,OT,76.75,312,10.25,34,,5.3,23,28.5,110,4.52,7.69,
2019,Tyler Roemer,San Diego State,OT,78.38,312,10.25,33.875,,5.21,18,30.5,108,4.76,7.75,
2019,Brock Ruble,Toledo,OT,80.25,324,9.63,33.625,,5.4,15,24.5,100,5.13,8.15,
2019,Max Scharping,Northern Illinois,OT,77.88,327,10,33.625,,,27,28,108,4.69,7.77,
2019,Justin Skule,Vanderbilt,OT,78.63,320,10,33.875,,5.26,22,25.5,105,4.73,7.54,
2019,William Sweet,North Carolina,OT,78,313,10.13,34.375,,5.27,23,30.5,111,5,8.01,
2019,Jawaan Taylor,Florida,OT,77.13,314,10,35.5,,,24,,,,,
2019,Kyle Trout,Cincinnati,OT,77.25,318,10,32.75,,5.23,24,30,111,4.77,7.89,
2019,Casey Tucker,Arizona State,OT,77.75,308,10.25,32.75,,5.5,28,25.5,102,4.63,7.74,
2019,Olisaemeka Udoh,Elon (NC),OT,77.5,323,10,35.375,,5.05,26,28.5,105,5.05,7.88,
2019,Brian Wallace,Arkansas,OT,77.25,326,10.5,35.5,,,22,29.5,99,,,
2019,Jonah Williams,Alabama,OT,76.5,302,10.13,33.625,,5.09,23,28,100,4.79,8.01,
2018,David Bright,Stanford,OT,77.13,307,10.25,33.25,,,,,,,,
2018,Orlando Brown,Oklahoma,OT,79.88,345,9.75,35,,5.85,14,19.5,82,5.38,7.87,
2018,Jake Campos,Iowa State,OT,79.25,304,9.25,33.625,,5.31,22,25,104,4.81,8,
2018,Alex Cappa,Humboldt State (CA),OT,77.75,305,9.25,32.63,,5.39,24,26.5,97,4.84,8.04,
2018,Geron Christian,Louisville,OT,77.13,298,10.75,35,,5.33,19,,,,,
2018,Zachary Crabtree,Oklahoma State,OT,78.25,317,9.13,34.125,,5.3,25,21.5,86,4.91,7.98,
2018,Tyrell Crosby,Oregon,OT,76.63,309,10.75,35.25,,5.23,17,30,105,4.77,7.89,
2018,Korey Cunningham,Cincinnati,OT,77.38,311,9.38,32.25,,4.9,27,35.5,119,,,
2018,Christian Daimler,Texas A&M,OT,79.5,305,10.75,33.75,,5.4,24,24,114,4.98,8.27,
2018,Trevor Darling,Miami (FL),OT,76.63,315,10.25,34.25,,5.38,19,24,90,5.01,7.91,
2018,Gerhard de Beer,Arizona,OT,78.5,312,10.5,34.125,,5.21,35,30.5,108,4.72,7.52,
2018,Christian DiLauro,Illinois,OT,77.5,300,10.25,33.375,,5.05,25,32,111,4.76,7.61,
2018,Aaron Evans,Central Florida,OT,76.88,309,9.88,32.5,,5.31,27,25,97,4.76,7.75,
2018,Desmond Harrison,West Georgia,OT,78,292,10.38,34,,4.9,,30,98,4.79,7.64,
2018,Jeromy Irwin,Colorado,OT,76.88,306,9.88,33.5,,5.34,28,25.5,108,4.94,8.03,
2018,Jamarco Jones,Ohio State,OT,76,299,9.5,35.125,,5.5,18,24,102,4.99,8.32,
2018,Jaryd Jones-Smith,Pittsburgh,OT,78.5,317,10,36.25,,5.22,16,27,109,4.94,8.1,
2018,Brett Kendrick,Tennessee,OT,77.75,305,10.13,32.25,,5.49,25,30.5,99,5.01,7.73,
2018,David Knevel,Nebraska,OT,80.63,333,9.38,33.375,,5.75,16,20,92,5,8.13,
2018,Rick Leonard,Florida State,OT,79,311,9.25,32.25,,,19,30.5,112,,,
2018,KC Mcdermott,Miami (FL),OT,77.63,311,9.75,32.5,,5.35,26,23.5,97,4.82,7.72,
2018,Mike McGlinchey,Notre Dame,OT,79.88,309,10,34,,,24,28.5,105,,,
2018,Kyle Meadows,Kentucky,OT,77.13,301,10,32.875,,5.46,,27,101,5.06,8.08,
2018,Kolton Miller,UCLA,OT,80.63,309,10.75,34.125,,4.91,24,31.5,121,4.49,7.34,
2018,Christian Morris,Tennessee State,OT,78,306,10,35,,5.32,21,27,103,5.03,8.1,
2018,Joseph Noteboom,Texas Christian,OT,77,309,9.63,34.375,,4.96,27,24,101,4.44,7.65,
2018,Chukwuma Okorafor,Western Michigan,OT,78,320,10.25,34.5,,5.31,19,23.5,102,4.8,7.87,
2018,Brian ONeill,Pittsburgh,OT,78.88,297,9.38,34.125,,4.8,22,29.5,107,4.5,7.14,
2018,Brandon Parker,North Carolina A&T,OT,79.63,305,9.75,35,,5.37,21,28.5,113,4.68,7.82,
2018,Timon Parris,Stony Brook (NY),OT,77.63,312,9.38,33.875,,5.57,27,,,5.07,8.39,
2018,Martinas Rankin,Mississippi State,OT,76.38,308,10.13,33.75,,,24,29,108,,,
2018,Will Richardson,North Carolina State,OT,77.63,306,9.88,35.25,,5.22,16,31.5,108,4.83,7.8,
2018,Greg Senat,Wagner (NY),OT,78.25,302,9.88,34.875,,5.37,19,26,106,4.71,7.41,
2018,DeVondre Seymour,Southern Illinois,OT,77.88,299,9.88,36.5,,5.27,16,25,108,4.91,8.09,
2018,Brandon Smith,East Carolina (NC),OT,78.38,316,9.5,36.25,,5.47,26,30,101,4.88,8.31,
2018,Bentley Spain,North Carolina,OT,77.75,305,,,,,,,,,,
2018,Brett Toth,Army,OT,77.75,291,10.25,33.375,,5.14,16,25,103,4.75,7.4,
2018,Toby Weathersby,Louisiana State,OT,76.38,317,10.25,33.25,,5.34,28,24.5,106,5.38,8.55,
2018,Connor Williams,Texas,OT,77.13,296,10.5,33,,5.05,26,34,112,4.63,7.83,
2017,Erik Austell,Charleston Southern,OT,75.13,301,9,32,,5.23,24,27.5,107,4.9,8.13,
2017,Zach Banner,Southern California,OT,80.38,353,10.75,34.88,,5.58,22,23.5,92,5.21,8.31,
2017,Adam Bisnowaty,Pittsburgh,OT,77.63,304,11.38,33.88,,5.23,23,29.5,96,4.94,8.02,
2017,Garett Bolles,Utah,OT,77.25,297,9.38,34,9,4.95,,28,115,4.55,7.29,
2017,Daniel Brunskill,San Diego State,OT,77.13,273,9.88,33.88,,5.2,17,28,106,4.84,7.9,
2017,Jemar Clark,Arkansas State,OT,77.25,300,10.63,35.75,,,28,25,92,,,
2017,Aviante Collins,Texas Christian,OT,76.25,295,9.38,33.38,,4.81,34,24,102,4.73,7.85,
2017,Julie'n Davenport,Bucknell (PA),OT,78.75,318,10.5,36.5,28,5.45,18,27,106,4.69,7.57,
2017,Andrew Eide,Brigham Young,OT,76.63,302,9.13,31.625,,5.2,33,30.5,113,4.7,7.93,
2017,Antonio Garcia,Troy (AL),OT,78.38,302,9.88,33.38,,5.15,24,31,108,4.94,7.98,
2017,Avery Gennesy,Texas A&M,OT,75,318,9.5,33.63,,5.35,24,20,91,5,8.08,
2017,Will Holden,Vanderbilt,OT,79.38,311,10.13,33.25,,5.45,23,28,111,4.72,7.71,
2017,Roderick Johnson,Florida State,OT,78.63,298,10.75,36,23,4.9,21,29.5,103,5.17,7.92,
2017,Dieugot Joseph,Florida International,OT,77.75,293,10.63,35.625,,5.21,21,31,102,4.87,7.83,
2017,Conor McDermott,UCLA,OT,80.13,307,11,34.75,,5.18,22,28.5,105,4.58,7.52,
2017,Kwayde Miller,San Diego State,OT,79.25,303,9.25,32.875,,5.24,21,32,107,4.63,7.5,
2017,Levon Myers,Northern Illinois,OT,76.75,309,9.88,33.25,,5.41,24,26.5,102,5.06,7.52,
2017,Kent Perkins,Texas,OT,76.63,320,9.88,35.75,,5.28,35,30.5,106,4.69,8.06,
2017,Jonah Pirsig,Minnesota,OT,79.88,314,10.13,32.625,,5.38,20,27,102,4.87,7.87,
2017,Ryan Ramczyk,Wisconsin,OT,77.75,310,10.88,33.75,20,,25,,,4.82,,
2017,Cam Robinson,Alabama,OT,77.75,322,10.5,35.5,16,5.15,,26,106,4.82,7.81,
2017,Victor Salako,Oklahoma State,OT,77.63,335,9.38,34.5,,5.47,24,23,96,4.78,8.47,
2017,Austin Schmidt,Illinois,OT,77.38,298,10.38,34.875,,5.56,17,30.5,103,4.69,7.55,
2017,Brad Seaton,Villanova,OT,80.63,329,10.25,34.25,,5.37,24,26,105,5,7.84,
2017,Justin Senior,Mississippi State,OT,76.63,331,10.25,34,,5.55,21,23,98,5.06,8.19,
2017,David Sharpe,Florida,OT,77.75,343,10,35.38,,5.44,19,20.5,97,4.78,7.87,
2017,Dan Skipper,Arkansas,OT,81.63,309,10.5,33.38,,5.42,19,26,97,5.01,7.61,
2017,Dustin Stanton,Oregon State,OT,77.63,298,9,32.375,,5.19,18,30,109,4.65,7.85,
