position,Name,school,Draft Class,Height,Weight,Arm Length,Hand Size,Wingspan,40 Yard Dash,10 Yard Split,Vertical,Broad Jump,20 Yard Shuttle,3 Cone,Cmp,Att,Cmp%,Yds,Y/A,AY/A,TD,Int,Pass Rate,Rush Att,Rush Yds,Rush Avg,Rush TD,YP,GP,tttidy,nfl_epa_per_play
QB,Lamar Jackson,Louisville,2018,74,216,33.125,9.5,77.625,,,,,,,619,1086,57,9043,8.3,8.5,69,27,142.9,655,4132,6.3,50,3,38,,0.159
QB,Brad Kaaya,Miami,2017,76,214,32,9.75,76.625,,,,,,,720,1188,60.6,9968,8.4,8.6,69,24,146.2,94,-386,-4.1,4,3,38,,
QB,Davis Webb,California,2017,77,229,33.125,9.25,79.5,4.79,,33,118,4.21,6.92,841,1367,61.5,9852,7.2,7.3,83,34,137.1,77,-100,-1.3,9,4,35,,
QB,CJ Beathard,Iowa,2017,74,219,30.675,9.375,75.125,,,31,113,,,454,782,58.1,5562,7.1,7,40,19,129.8,224,429,1.9,10,4,42,,-0.049
QB,Mitchell Trubisky,North Carolina,2017,74,222,32,9.5,78.125,4.67,,27.5,116,4.25,6.87,386,572,67.5,4762,8.3,9,41,10,157.6,120,439,3.7,8,3,31,,0.037
QB,Nathan Peterman,Pittsburgh,2017,74,226,32.375,9.875,76,4.82,,31,110,4.31,7.14,398,662,60.1,5236,7.9,8.2,47,17,144.9,172,525,3.1,5,4,35,,
QB,Pat Mahomes,Texas Tech,2017,74,225,33.25,9.25,78.5,4.8,,30,114,4.08,6.88,857,1349,63.5,11252,8.3,8.8,93,29,152,308,845,2.7,22,3,32,,0.269
QB,DeShone Kizer,Notre Dame,2017,76,233,33.125,9.875,77.875,4.83,,30.5,107,4.53,7.4,422,695,60.7,5805,8.4,8.5,47,19,147.7,264,997,3.8,18,2,25,,-0.138
QB,DeShaun Watson,Clemson,2017,74,221,33,9.75,81,4.66,,32.5,119,4.31,6.95,814,1207,67.4,10168,8.4,8.7,90,32,157.5,435,1934,4.4,26,3,38,,0.153
QB,Joshua Dobbs,Tennessee,2017,75,216,32.675,9.25,78,4.64,,33,122,4.31,6.75,614,999,61.5,7138,7.1,6.9,53,29,133.2,438,2160,4.9,32,4,37,,-0.098
QB,Cody Kessler,USC,2016,73,220,32.375,10.875,77,4.89,1.68,29.5,104,4,7.32,851,1261,67.5,10339,8.2,8.9,88,19,156.4,158,-425,-2.7,7,4,41,,-0.046
QB,Christian Hackenberg,Penn State,2016,76,223,32,9,77.75,4.78,1.64,31,114,4.33,7.04,693,1235,56.1,8457,6.8,6.5,48,31,121.4,208,-242,-1.2,6,3,38,,
QB,Jared Goff,California,2016,76,215,32.75,9,77.875,4.82,1.65,27,110,4.47,7.17,977,1568,62.3,12195,7.8,8.1,96,30,144,170,-114,-0.7,1,3,37,,0.09
QB,Connor Cook,Michigan State,2016,76,217,33,9.75,78.375,4.79,1.68,33,113,4.28,7.21,673,1170,57.5,9194,7.9,8.2,71,22,139.8,179,209,1.2,3,4,43,,
QB,Cardale Jones,Ohio State,2016,77,253,33.75,9.75,80.5,4.81,1.67,36,,,,166,269,61.7,2322,8.6,8.6,15,7,147.4,153,617,4,4,3,23,,
QB,Paxton Lynch,Memphis,2016,79,244,34.25,10.25,81.75,4.86,1.69,36,118,4.26,7.14,758,1205,62.9,8863,7.4,7.5,59,23,137,288,687,2.4,17,3,38,,
QB,Jacoby Brissett,North Carolina State,2016,76,231,32.25,9.75,79.375,4.94,1.79,31,113,4.53,7.17,499,839,59.5,5723,6.8,7.1,46,15,131.3,283,902,3.2,12,4,39,,0.035
QB,Carson Wentz,North Dakota State,2016,77,237,33.25,10,78.75,4.77,1.65,30.5,118,4.15,6.86,392,612,64.1,5115,8.4,8.8,45,14,153.9,216,1028,4.8,13,4,42,,0.067
QB,Kevin Hogan,Stanford,2016,75,218,32.375,10.25,77.75,4.78,1.64,32.5,113,4.31,6.9,727,1103,65.9,9385,8.5,8.7,75,29,154.6,315,1249,4,15,4,51,,
QB,Dak Prescott,Mississippi State,2016,74,226,32.25,10.875,78,4.79,1.68,32.5,116,4.32,7.11,734,1169,62.8,9376,8,8.3,70,23,146,536,2521,4.7,41,4,49,,0.16
QB,Sean Mannion,Oregon State,2015,78,229,33.5,9,80,5.14,1.87,31,105,4.39,7.29,1187,1838,64.6,13600,7.4,7,83,54,135.8,132,-804,-6.1,2,4,47,,
QB,Shane Carden,East Carolina,2015,74,218,33.25,9.75,79.125,4.94,1.75,29.5,104,4.45,7.17,1052,1579,66.6,11991,7.6,7.8,86,30,144.6,271,253,0.9,24,3,39,,
QB,Garrett Grayson,Colorado State,2015,74,213,30,10,75.25,,,,,,,688,1113,61.8,9190,8.3,8.3,64,27,145.3,212,283,1.3,4,4,37,,
QB,Jameis Winston,Florida State,2015,76,231,32,9.375,78.75,4.97,1.74,28.5,103,4.36,7.16,562,851,66,7964,9.4,9.4,65,28,163.3,145,284,2,7,2,27,,0.111
QB,Bryce Petty,Baylor,2015,75,230,31.875,10,77.375,4.87,1.68,34,121,4.13,6.91,530,845,62.7,8195,9.7,10.6,62,10,166,192,338,1.8,21,4,37,,
QB,Brandon Bridge,South Alabama,2015,76,229,34.25,9.25,82.5,4.72,1.68,33,110,4.37,7.18,189,373,50.7,2325,6.2,5.9,16,10,111.8,138,467,3.4,5,2,20,,
QB,Anthony Boone,Duke,2015,72,231,31.675,9.675,76.375,5.03,1.75,26.5,100,4.62,7.47,540,923,58.5,5789,6.3,5.9,38,24,119.6,230,800,3.5,16,4,46,,
QB,Brett Hundley,UCLA,2015,75,226,32.125,10.5,78.25,4.63,1.63,36,120,3.98,6.93,837,1241,67.4,9966,8,8.3,75,25,150.8,479,1747,3.6,30,3,40,,-0.133
QB,Marcus Mariota,Oregon,2015,76,222,32,9.875,76.375,4.52,1.57,36,121,4.11,6.87,779,1167,66.8,10796,9.3,10.5,105,14,171.8,337,2237,6.6,29,3,41,,0.072
QB,Cody Fajardo,Nevada,2015,73,223,31.375,9.5,77,4.63,1.62,32.5,118,4.1,6.95,878,1348,65.1,9659,7.2,7,57,29,135,636,3482,5.5,44,4,45,,
QB,Tom Savage,Pittsburgh,2014,75.875,228,31.675,9.675,76.25,4.97,1.72,27,105,4.36,7.33,430,757,56.8,5690,7.5,7.4,37,19,131.1,167,-319,-1.9,4,3,31,,-0.116
QB,Zach Mettenberger,LSU`,2014,77,224,32.375,9.75,78.375,,,,,,,407,659,61.8,5783,8.8,8.8,35,15,148.4,83,-313,-3.8,0,3,30,,-0.239
QB,Jimmy Garoppolo,Eastern Illinois,2014,74,226,31,9.25,75.375,4.97,1.78,30.5,110,4.26,7.04,1009,1618,62,12835,7.9,,116,51`,,250,-79,,6,4,44,,0.125
QB,Teddy Bridgewater,Louisville,2014,74,214,33,9.25,78.625,4.78,,30,113,4.2,7.17,781,1142,68.4,9817,8.6,8.9,72,24,157.2,226,170,0.8,6,3,39,,0.08
QB,Derek Carr,Fresno State,2014,74.375,214,32.5,9.125,75,4.69,1.59,34.5,110,4.2,,1087,1630,66.7,12843,7.9,8.6,113,24,152.8,164,190,1.2,5,4,44,,0.069
QB,Blake Bortles,UCF,2014,77,232,32.875,9.375,78,4.93,1.72,32.5,115,4.21,7.08,585,891,65.7,7598,8.5,8.8,56,19,153.8,195,561,2.9,15,3,37,,0.004
QB,Johnny Manziel,Texas A&M,2014,71.75,207,31.375,9.875,74.125,4.68,1.59,31.5,113,4.03,6.75,595,863,68.9,7820,9.1,9.4,63,22,164.1,345,2169,6.3,30,2,26,,-0.073
QB,Landry Jones,Oklahoma,2013,76,225,33,9.125,,5.11,1.69,31,115,4.3,7.12,1388,2183,63.6,16646,7.6,7.7,123,52,141.5,132,-375,-2.8,3,4,53,,
QB,Mike Glennon,North Carolina State,2013,79,225,33.125,9.675,78.75,4.94,1.8,26.5,102,4.52,7.49,646,1069,60.4,7411,6.9,6.8,63,31,132.2,111,-280,-2.5,3,4,36,,-0.105
QB,Tyler Bray,Tennessee,2013,78,232,33,9.25,,5.05,1.72,,100,4.51,7.2,540,922,58.6,7444,8.1,8.2,69,28,145,61,-207,-3.4,1,3,28,,
QB,Matt Barkley,USC,2013,73.5,230,30.63,10.08,75.25,4.91,1.75,,,4.58,,1001,1562,64.1,12327,7.9,8,116,48,148.7,132,-113,-0.9,6,4,47,,-0.028
QB,Tyler Wilson,Arkansas,2013,74,215,31.375,8.75,,4.95,1.7,28.5,112,4.39,7.22,593,948,62.6,7765,8.2,8.1,52,26,144,110,-44,-0.4,4,5,37,,
QB,Ryan Nassib,Syracuse,2013,74,227,32,10.125,74.5,5.06,1.73,28.5,105,4.53,7.34,791,1312,60.3,9190,7,7.1,70,28,132.5,242,168,0.7,5,4,47,,
QB,Geno Smith,West Virginia,2013,74,218,32.5,9.25,76.375,4.59,1.59,33.5,124,,,988,1465,67.4,11662,8,8.7,98,21,153.5,245,342,1.4,4,4,46,,0.025
QB,Zac Dysert,Miami (Ohio),2013,75,231,32.675,9.125,,,,,,,,1066,1672,63.8,12013,7.2,6.7,73,51,132.4,461,665,1.4,12,4,46,,
QB,EJ Manuel,Florida State,2013,76.675,237,35,10.375,83.125,4.65,1.63,34,118,4.21,7.08,600,897,66.9,7741,8.6,8.3,47,28,150.4,298,827,2.8,11,4,43,,-0.065
QB,Matt Scott,Arizona,2013,74,213,30.25,9,,4.69,1.58,31,118,3.99,6.69,415,675,61.5,4921,7.3,7,33,19,133.2,212,1138,5.4,8,4,34,,
QB,Nick Foles,Arizona,2012,77,243,,,,5.14,,30.5,112,,,938,1404,66.8,10068,7.2,7.1,67,33,138.1,106,-290,-2.7,4,4,36,,-0.002
QB,Ryan Lindley,San Diego State,2012,76,229,32.675,10,,4.9,,29.5,108,4.45,7.52,961,1732,55.5,12690,7.3,7.1,90,47,128.8,90,-275,-3.1,2,4,49,,
QB,Brandon Weeden,Oklahoma State,2012,76,221,31.75,9.675,,4.89,,32,102,4.45,7.36,767,1103,69.5,9260,8.4,8.7,75,27,157.6,39,-150,-3.8,1,4,30,,-0.023
QB,Kellen Moore,Boise State,2012,72,197,30.25,9.5,,4.94,,27,99,4.56,7.41,1157,1658,69.8,14667,8.8,9.8,142,28,169,101,-133,-1.3,3,4,53,,
QB,Kirk Cousins,Michigan State,2012,75,214,31.75,9.875,,4.93,,28.5,109,4.5,7.05,723,1128,64.1,9131,8.1,8.1,66,30,146.1,111,-127,-1.1,1,4,45,,0.115
QB,Jacory Harris,Miami,2012,75,203,32.125,9.75,,4.72,,37,113,4.4,7.1,703,1170,60.1,8826,7.5,6.9,70,48,135,175,-3,0,5,4,47,,
QB,Brock Osweiler,Arizona State,2012,79,242,33.875,9.875,,,,,,,,412,680,60.6,5082,7.5,7.5,33,15,135,137,221,1.6,4,3,25,,-0.025
QB,Ryan Tannehill,Texas A&M,2012,76,221,32.675,9,,,,,,,,484,774,62.5,5450,7,6.9,42,21,134.2,115,369,3.2,5,4,50,,0.072
QB,Darron Thomas,Oregon,2012,75,220,32.875,9.5,,4.8,,36,121,4.28,7.17,449,733,61.3,5910,8.1,8.8,66,17,154.1,162,719,4.4,9,3,31,,
QB,Case Keenum,Houston,2012,73,208,30.875,9.125,,4.82,,32.5,103,,,1546,2229,69.4,19217,8.6,9.1,155,46,160.6,300,897,3,23,5,57,,0.005
QB,Andrew Luck,Stanford,2012,76,234,32.625,10,,4.67,,36,124,4.28,6.8,713,1064,67,9430,8.9,9.5,82,22,162.8,163,957,5.9,7,3,38,,0.119
QB,Jordan Jefferson,LSU,2012,75,223,33,10.125,,4.65,,36.5,116,4.06,6.81,397,678,58.6,4733,7,6.7,34,20,127.8,359,1018,2.8,12,4,42,,
QB,Austin Davis,Southern Mississippi,2012,73,219,31.75,10.375,,,,31,109,4.11,6.73,933,1527,61.1,10892,7.1,7.4,83,27,135.4,460,1375,3,25,4,46,,-0.143
QB,Russell Wilson,Wisconsin,2012,71,204,31,10.25,,4.55,,34,118,4.09,6.97,907,1489,60.9,11720,7.9,8.4,109,30,147.2,441,1421,3.2,23,4,50,,0.134
QB,Robert Griffin III,Baylor,2012,74,223,32.25,9.5,,4.41,,39,120,,,800,1192,67.1,10366,8.7,9.4,78,17,158.9,528,2254,4.3,33,4,41,,0.048
QB,Chandler Harnish,Northern Illinois,2012,73,219,32.375,9.25,,4.76,,32.5,112,4.15,6.78,687,1110,61.9,8944,8.1,8.2,68,26,145.1,538,2983,5.5,24,4,47,,
QB,Nathan Enderle,Idaho,2011,76,240,31.25,9.875,,5.12,,25.5,102,4.46,,779,1427,54.6,10084,7.1,6.2,74,60,122.7,228,-349,-1.5,3,4,46,,
QB,TJ Yates,North Carolina,2011,75,219,32.5,10.25,,5.06,,29.5,104,4.12,,795,1277,62.3,9377,7.3,6.6,58,46,131.7,220,-333,-1.5,7,4,45,,
QB,Ryan Mallett,Arkansas,2011,79,253,34.375,10.75,,5.24,,24,,,,552,955,57.8,8385,8.8,9.1,69,24,150.4,135,-141,-1,7,3,37,,-0.046
QB,Scott Tolzien,Wisconsin,2011,74,212,30.5,10,,4.92,,29.5,116,4.12,,410,602,68.1,5271,8.8,8.5,32,18,153.2,88,-9,-0.1,3,3,29,,
QB,Ricky Stanzi,Iowa,2011,76,223,32,10,,4.87,,32.5,110,4.43,,542,907,59.8,7377,8.1,7.8,56,31,141.6,160,-4,0,2,4,39,,
QB,Greg McElroy,Alabama,2011,74,220,30.75,9.375,,4.84,,33,107,4.45,,436,658,66.3,5691,8.6,9.2,39,10,155.4,114,71,0.6,2,4,35,,
QB,Blaine Gabbert,Missouri,2011,76,234,33,10,,4.61,,33.5,120,4.26,,568,933,60.9,6822,7.3,7.3,40,18,132.6,221,458,2.1,8,3,31,,-0.139
QB,Christian Ponder,Florida State,2011,74,229,32.125,10.25,,4.63,,34,116,4.09,,596,965,61.8,6872,7.1,6.7,49,30,132.1,296,833,2.8,10,4,35,,-0.002
QB,Jerrod Johnson,Texas A&M,2011,77,251,34.875,9.875,,4.75,,29,119,,,650,1109,58.6,8011,7.2,7.3,67,27,134.4,331,877,2.6,16,4,37,,
QB,Cam Newton,Auburn,2011,77,248,33.75,9.875,,4.56,,35,126,4.18,6.92,185,280,66.1,2854,10.2,11.2,30,7,182,264,1473,5.6,20,1,20,,0.073
QB,Andy Dalton,TCU,2011,74,215,31.75,9.5,,4.83,,29.5,106,4.27,,812,1317,61.7,10314,7.8,7.9,71,30,140.7,413,1611,3.9,22,4,50,,0.069
QB,Jake Locker,Washington,2011,75,231,31.675,9.675,,4.51,,35,115,4.12,,619,1147,54,7639,6.7,6.2,53,35,119.1,454,1939,4.3,29,4,40,,-0.002
QB,Tyrod Taylor,Virginia Tech,2011,73,217,32.25,10,,4.47,,37.5,126,4.09,,495,865,57.2,7017,8.1,8.1,44,20,137.5,501,2196,4.4,23,4,50,,0.056
QB,Colin Kaepernick,Nevada,2011,77,233,33.5,9.125,,4.53,,32.5,115,4.18,6.85,740,1271,58.2,10098,7.9,8.4,82,24,142.5,600,4112,6.9,59,4,51,,0.073
QB,Matthew Stafford,Georgia,2009,74,225,,10,,4.81,,30.5,107,4.47,7.06,564,987,57.1,7731,7.8,7.4,51,33,133.3,141,213,1.5,6,3,39,,0.103
QB,Donovan McNabb,Syracuse,1999,74,223,30.75,10,,4.64,1.66,33,117,4.38,,548,938,58.4,8389,8.9,9.3,77,26,155.1,465,1561,3.4,19,4,45,,
QB,Sam Bradford,Oklahoma,2010,76.25,236,34.375,9.5,,4.79,,,,,,604,893,67.6,8403,9.4,10.6,88,16,175.6,77,36,0.5,5,3,31,,0.029
QB,Jarrett Brown,West Virginia,2010,74.88,224,34.875,10,,4.5,,34.5,114,4.39,7.24,268,421,63.7,2983,7.1,6.5,16,13,129.5,234,1138,4.9,13,4,38,,
QB,Levi Brown,Troy (AL),2010,75.5,229,31.5,9.5,,4.93,,31.5,106,4.43,7.07,522,830,62.9,6284,7.6,7.8,38,12,138.7,87,24,0.3,1,2,23,,
QB,Sean Canfield,Oregon State,2010,75.75,223,32.75,9.25,,4.93,,29.5,100,4.39,7.26,522,861,64.1,5970,6.9,6.5,38,26,130.9,93,-313,-3.4,3,4,38,,
QB,Daryll Clark,Penn State,2010,73.88,235,32.75,9.5,,4.72,,33,116,4.28,6.97,444,738,60.2,5742,7.8,8,43,16,140.4,190,619,3.3,22,4,41,,
QB,Jimmy Clausen,Notre Dame,2010,74.63,222,30.75,9,,4.76,,,,,,695,1110,62.6,8148,7.3,7.3,60,27,137.2,175,-355,-2,5,3,35,,
QB,Jonathan Crompton,Tennessee,2010,75.13,222,,,,4.85,,31,106,4.34,6.95,348,629,55.3,4187,6.7,6.2,36,22,123.1,101,-16,-0.2,3,4,35,,
QB,Max Hall,Brigham Young,2010,72.63,209,30,9,,4.84,,32,102,4.35,7.07,903,1382,65.3,11365,8.2,8.3,94,40,151.1,189,204,1.1,7,3,39,,
QB,Tim Hiller,Western Michigan,2010,76,229,31.25,9.13,,4.97,,32.5,118,4.54,7.1,1013,1608,63,11329,7,7.1,99,41,137.4,165,-109,-0.7,4,4,44,,
QB,Mike Kafka,Northwestern,2010,75.13,225,33.5,9.25,,4.93,,32,110,4.37,6.96,408,637,64.1,4265,6.7,5.9,19,20,123.9,268,887,3.3,11,4,30,,
QB,Dan LeFevour,Central Michigan,2010,75.25,230,32.5,9.25,,4.6,,29.5,110,4.22,6.93,1171,1763,66.4,12905,7.3,7.6,102,36,142.9,671,2948,4.4,47,4,53,,
QB,Thaddeus Lewis,Duke,2010,72.5,215,32.63,9.63,,4.84,,28,107,,,877,1510,58.1,10065,6.7,6.4,67,40,123.4,350,-78,-0.2,9,4,47,,
QB,Colt McCoy,Texas,2010,73.13,216,31,9.38,,4.79,,,114,,,1157,1645,70.3,13253,8.1,8.2,112,45,155,447,1571,3.5,20,4,53,,-0.04
QB,Tony Pike,Cincinnati,2010,77.75,223,34.5,10,,4.9,,28.5,108,4.53,7.06,421,682,61.7,5018,7.4,7.5,49,20,141.4,94,128,1.4,3,3,27,,
QB,Zac Robinson,Oklahoma State,2010,74.5,214,31.25,9,,4.68,,35,110,4.4,7.24,610,999,61.1,8317,8.3,8.3,66,31,146.6,426,1858,4.4,22,4,45,,
QB,Riley Skinner,Wake Forest,2010,72,214,30.5,9.38,,5.05,,30,101,4.29,7.04,903,1349,66.9,9762,7.2,6.9,60,37,136.9,287,161,0.6,4,4,50,,
QB,Rusty Smith,Florida Atlantic,2010,77,224,,,,4.83,,23,100,4.61,7.04,768,1361,56.4,10112,7.4,7.4,76,36,132,115,-335,-2.9,5,4,45,,
QB,Jevan Snead,Mississippi,2010,75,219,32.25,10,,5.04,,33,106,4.33,7.08,401,727,55.2,5765,7.9,7.1,48,35,133.9,136,248,1.8,7,3,34,,
QB,Tim Tebow,Florida,2010,74.75,236,31.75,10.13,,4.71,,38.5,115,4.17,6.66,661,995,66.4,9285,9.3,10.4,88,16,170.8,692,2947,4.3,57,4,55,,