Draft Class,Name,school,position,Height,Weight,Hand Size,Arm Length,Wonderlic,40 Yard Dash,Bench Press,Vertical,Broad Jump,20 Yard Shuttle,3 Cone,60Yd Shuttle,Rush Att,Rush Yds,Rush Avg,Rush TD,Rec,Rec Yds,Rec Avg,Rec TD,YP,Games Played
2008,Felix Jones,Arkansas,RB,70,207,,,,4.44,,33.5,124,4.19,,,386,2956,7.7,20,39,383,9.8,3,3,38
2012,Kenjon Barner,Oregon,RB,69,196,9.125,29.675,,4.52,,35.5,122,4.2,6.87,,582,3623,6.2,41,54,591,10.9,7,4,49
2016,Ezekiel Elliott,Ohio State,RB,72,225,10.25,31.25,,4.47,,32.5,118,,,,592,3961,6.7,43,58,449,7.7,1,3,35
2016,Derrick Henry,Alabama,RB,75,247,8.75,33,,4.54,,37,130,4.38,7.2,,602,3591,6,42,17,285,16.8,3,3,39
2017,Christian McCaffrey,Stanford,RB,71,202,9,30,,4.48,,37.5,121,4.22,6.57,,632,3922,6.2,21,99,1206,12.2,10,3,37
2017,Alvin Kamara,Tennessee,RB,70,214,9.25,32.75,,4.56,,39.5,131,,,,210,1294,6.2,16,74,683,9.2,7,2,24
2017,Marlon Mack,South Florida,RB,71,213,9,32,,4.5,,35.5,125,,,,586,3609,6.2,32,65,498,7.7,1,3,36
2017,Dare Ogunbowale,Wisconsin,RB,71,213,9.125,31.375,,4.65,,35,120,4.34,6.99,,319,1518,4.8,13,60,507,8.5,2,2,27
2017,Dalvin Cook,Florida State,RB,70,210,9.25,32.375,,4.49,,30.5,116,4.53,7.27,,687,4464,6.5,46,79,935,11.8,2,3,38
2017,Aaron Jones,UTEP,RB,69,208,9.5,32.5,,4.56,,37.5,127,4.2,6.82,,658,4114,6.3,33,71,646,9.1,7,4,35
2018,Saquon Barkley,Penn State,RB,72,233,9.5,31.375,,4.4,,41,,4.24,,,671,3843,5.7,43,102,1195,11.7,8,3,38
2018,Nick Chubb,Georgia,RB,70,227,9.625,32,,4.52,,38.5,128,4.25,,,758,4769,6.3,44,31,361,11.6,4,4,47
2019,Miles Sanders,Penn State,RB,70,211,9.25,30.675,,4.49,,36,124,4.19,6.89,,276,1649,6,12,32,193,6,1,3,36
2020,Deejay Dallas,Miami,RB,70,217,9.25,30.675,,4.58,,33.5,119,4.32,7.18,,265,1527,5.8,17,28,317,11.3,2,3,33
2020,Salvon Ahmed,Washington,RB,71,197,8.75,29.25,,4.62,,34.5,120,,,,353,2016,5.7,21,50,331,6.6,0,3,39
2020,Cam Akers,Florida State,RB,70,217,9,30.675,,4.47,,35.5,122,4.42,,,586,2875,4.9,27,69,486,7,7,3,36
2020,Eno Benjamin,Arizona State,RB,69,207,8.675,31.25,,4.57,,39,122,4.25,6.97,,576,2867,5,27,82,625,7.6,4,3,34
2020,Raymond Calais,Louisiana-Lafayette,RB,68,188,9.25,30,,4.42,,37.5,120,,,,236,1845,7.8,15,17,145,8.5,1,4,49
2020,AJ Dillon,Boston College,RB,72,247,9.675,31.675,,4.53,,41,131,,7.19,,845,4382,5.2,38,21,236,11.2,2,3,36
2020,J.K. Dobbins,Ohio State,RB,69,209,9.5,29.75,,,,,,,,,725,4459,6.2,38,71,645,9.1,5,3,42
2020,Clyde Edwards-Helaire,LSU,RB,67,207,9.675,29,,4.6,,39.5,123,,,,370,2103,5.7,23,69,595,8.6,1,3,38
2020,Darrynton Evans,Appalachian State,RB,70,203,9.25,31.675,,4.41,,37,125,,,,482,2884,6,25,39,319,8.2,6,3,39
2020,JaMycal Hasty,Baylor,RB,68,205,9.125,31.125,,4.55,,39,123,4.03,,,386,1998,5.2,15,79,485,6.1,1,4,45
2020,Brian Herrien,Georgia,RB,71,209,9,29.75,,4.62,,38.5,126,4.4,7.12,,277,1413,5.1,13,28,167,6,2,4,49
2020,Tony Jones,Notre Dame,RB,70,220,9.5,30.675,,4.68,,32.5,119,4.21,7.18,,271,1481,5.5,12,27,273,10.1,2,3,37
2020,Joshua Kelley,UCLA,RB,71,212,9.675,31.675,,4.49,,31,121,4.28,6.95,,454,2303,5.1,24,38,264,6.9,1,2,22
2020,Anthony McFarland,Maryland,RB,68,208,8.875,30.375,,4.44,,29.5,116,,,,245,1648,6.7,12,24,199,8.3,1,2,23
2020,Zack Moss,Utah,RB,69,223,9.25,31.25,,4.65,,33,,4.37,,,712,4067,5.7,38,66,685,10.4,3,4,45
2020,La'Mical Perine,Florida,RB,71,216,10.25,31.675,,4.62,,35,118,4.31,7.13,,493,2485,5,22,72,674,9.4,8,4,50
2020,James Robinson,Illinois State,RB,69,219,8.75,29.675,,4.64,,40,125,4.19,7.03,,797,4444,5.575909661,44,58,428,7.4,2,4,46
2020,D'Andre Swift,Georgia,RB,68,212,9,29.875,,4.48,,35.5,121,,,,440,2885,6.6,20,73,666,9.1,5,3,43
2020,Jonathan Taylor,Wisconsin,RB,70,226,9.5,31.125,,4.39,,36,123,4.24,7.01,,926,6174,6.7,50,42,407,9.7,5,3,41
2021,Rakeem Boyd,Arkansas,RB,71,213,8.675,32.5,,4.7,,32.5,98,4.38,7.22,,389,2176,5.6,13,52,358,6.9,0,3,31
2021,Gary Brightwell,Arizona,RB,70,218,9.75,31,,4.62,,34.5,118,4.48,7.51,,245,1305,5.3,9,19,121,6.4,1,4,28
2021,Michael Carter,North Carolina,RB,67,201,8.75,29.125,,4.5,,34,119,3.98,6.81,,514,3404,6.6,22,82,656,8,6,4,44
2021,Travis Etienne,Clemson,RB,70,215,9.375,30.125,,4.45,,33.5,128,,,,686,4952,7.2,70,102,1155,11.3,8,4,55
2021,Chris Evans,Michigan,RB,71,211,10,32.5,,4.5,,40.5,127,4.12,6.83,,320,1795,5.6,15,49,479,9.8,2,4,42
2021,Demetric Felton,UCLA,RB,68,189,9.375,31.375,,4.55,,31.5,114,4.5,7.31,,233,1101,4.7,7,99,958,9.7,8,4,31
2021,Jake Funk,Maryland,RB,70,204,9,30.25,,4.49,,38,122,4.12,6.71,,135,968,7.2,10,23,134,5.8,3,5,33
2021,Kenneth Gainwell,Memphis,RB,68,201,9.875,30.675,,4.42,,35,121,4.46,7.26,,235,1550,6.6,14,57,662,11.6,3,2,18
2021,Khalil Herbert,Virginia Tech,RB,68,210,8.675,31.25,,4.46,,33,115,4.31,6.96,,475,2918,6.1,22,34,297,8.7,1,5,46
2021,Kylin Hill,Mississippi St.,RB,70,214,9.675,30.5,,4.51,,36,122,4.35,7.13,,452,2535,5.6,16,67,631,9.4,6,4,40
2021,Chuba Hubbard,Oklahoma St.,RB,72,210,9,32,,4.48,,36,120,4.26,7.24,,585,3459,5.9,33,53,479,9,3,3,33
2021,Deon Jackson,Duke,RB,71,218,9.25,30.25,,4.41,,36,123,4.37,7.15,,526,2267,4.3,18,61,534,8.8,4,4,44
2021,Jermar Jefferson,Oregon St.,RB,70,206,9.675,30.5,,4.57,,31,115,4.38,7.38,,514,2923,5.7,27,43,299,7,2,3,27
2021,Elijah Mitchell,Louisiana,RB,70,201,9.75,31,,4.38,,37.5,128,4.19,6.94,,527,3267,6.2,41,49,597,12.2,5,4,42
2021,Jaret Patterson,Buffalo,RB,66,195,9.25,28.75,,4.59,,30,117,4.35,7.03,,636,3884,6.1,52,20,271,13.6,1,3,32
2021,Larry Rountree,Missouri,RB,70,211,9.125,30.75,,4.62,,30,108,4.47,6.96,,746,3720,5,40,47,289,6.1,0,4,48
2021,Trey Sermon,Ohio St.,RB,72,215,9.375,33.375,,4.57,,37,125,4.28,6.83,,455,2946,6.5,26,48,486,10.1,3,4,45
2021,Rhamondre Stevenson,Oklahoma,RB,71,231,9,30.25,,4.64,,31.5,112,4.15,7.09,,165,1180,7.2,13,28,298,10.6,0,2,19
2022,Breece Hall,Iowa State,RB,71,217,9.75,31.25,,4.39,,40,126,,,,718,3941,5.5,50,82,734,9,6,3,36
2022,Dameon Pierce,Florida,RB,70,218,9.375,30.75,,4.59,,34.5,119,,,,329,1806,5.5,23,45,422,9.4,5,4,48
2022,Isaiah Pacheco,Rutgers,RB,70,216,9.25,30.5,,4.37,,33,118,,,,563,2442,4.3,18,47,249,5.3,1,4,43
2022,Kenneth Walker,Michigan State,RB,69,211,9.5,30.375,,4.38,,34,122,,,,480,2794,5.8,35,19,136,7.2,1,3,33
2022,Tyler Allgeier,BYU,RB,71,224,9.675,74.5,,4.6,,33,120,,,,425,2899,6.4,36,46,437,9.5,1,4,41
2022,Tyler Badie,Missouri,RB,68,197,29.375,71.375,,4.45,,33.5,121,,,,513,2740,5.3,23,126,1149,9.1,11,4,46
2022,James Cook,Georgia,RB,71,199,9.375,76.25,,4.42,,33,124,,,,230,1503,6.5,14,67,730,10.9,6,4,47
2022,Tyrion Davis-Price,LSU,RB,72,211,9.25,75.675,,4.48,,30,117,,,,379,1744,4.6,15,28,185,6.6,0,3,35
2022,Jerrion Ealy,Mississippi,RB,68,189,8.5,29.125,,4.52,,34.5,128,,,,384,2235,5.8,20,67,545,8.1,4,3,33
2022,Zonovan Knight,North Carolina St.,RB,71,209,9.25,30.5,,4.58,,31,114,,,,419,2286,5.5,18,48,337,7,0,3,36
2022,Brian Robinson,Alabama,RB,74,225,9.75,31.875,,4.53,,30,119,,,,545,2704,5,29,52,446,8.6,2,5,61
2022,Pierre Strong,South Dakota St.,RB,71,207,9.25,31.875,,4.37,,36,124,,,,631,4527,7.2,40,62,581,9.4,3,4,48
2022,Jaylen Warren,Oklahoma St.,RB,68,204,9.25,29.875,,4.55,,31.5,119,,,,407,2037,5,19,45,440,9.8,0,3,29
2022,Rachaad White,Arizona St.,RB,72,214,9.75,31.25,,4.48,,38,125,,,,224,1420,6.3,20,51,607,11.9,2,2,15
2023,Israel Abanikanda,Pittsburgh,RB,71,216,8.25,32,,,,,,,,,390,2177,5.6,28,38,354,9.3,3,3,31
2023,Devon Achane,Texas A&M,RB,68.5,188,8.5,29,,4.32,,33,,,,,369,2376,6.4,21,65,554,8.5,5,3,30
2023,Tank Bigsby,Auburn,RB,72,210,9.5,32,,4.56,,32.5,119,,,,540,2903,5.4,25,62,448,7.2,0,3,35
2023,Chase Brown,Illinois,RB,69.5,209,10,31,,4.43,,40,127,,,,676,3358,5.3,18,58,521,9,3,5,47
2023,Zach Charbonnet,UCLA,RB,72,214,9.875,32,,4.53,,37,122,,,,566,3346,5.9,39,75,589,7.9,0,4,40
2023,Travis Dye,USC,RB,70,201,9.25,28.875,,,,,,,,,666,3995,6,30,104,1071,10.3,8,5,58
2023,Zach Evans,Mississippi,RB,71,202,10.25,31.625,,,,,,,,,290,1999,6.9,18,30,325,10.8,2,3,27
2023,Jahmyr Gibbs,Alabama,RB,69,199,9.25,30.5,,4.36,,33.5,,,,,383,2132,5.6,15,103,1212,11.8,8,3,31
2023,Eric Gray,Oklahoma,RB,69.5,207,9.75,29.625,,,,37.5,118,,,,549,3089,5.6,21,99,827,8.4,5,4,47
2023,Evan Hull,Northwestern,RB,70,209,9.25,30.625,,4.47,,37,123,4.38,6.9,,488,2417,5,18,94,851,9.1,4,4,36
2023,Mohamed Ibrahim,Minnesota,RB,68,203,9,28.625,,,,,,,,,867,4668,5.4,53,22,145,6.6,0,5,41
2023,Roschon Johnson,Texas,RB,72,219,9.625,32,,4.58,,31.5,122,,,,392,2190,5.6,23,56,420,7.5,3,4,47
2023,DeWayne McBride,UAB,RB,70,209,9.5,30.625,,,,,,,,,484,3523,7.3,36,5,29,5.8,0,3,30
2023,Kenny McIntosh,Georgia,RB,72,204,9,30.5,,4.62,,,,,,,279,1582,5.7,16,76,861,11.3,4,4,48
2023,Kendre Miller,TCU,RB,71,215,9.375,32.375,,,,,,,,,361,2410,6.7,26,29,229,7.9,1,3,33
2022,Kyren Williams,Notre Dame,RB,69.25,194,9,28.63,,4.65,,32,,,,,419,2153,5.1,27,78,675,8.7,4,3,28
2023,Keaton Mitchell,East Carolina,RB,68,179,9.25,30.75,,4.37,,38,126,,,,463,3027,6.5,25,60,580,9.7,3,3,33
2023,Camerun Peoples,Appalachian State,RB,73,217,9.75,32.625,,4.61,,37,121,,,,455,2830,6.2,33,11,77,7,0,5,36
2023,Deneric Prince,Tulsa,RB,72,216,9.25,31.25,,4.41,,35.5,124,,,,316,1749,5.5,14,17,162,9.5,1,4,27
2023,Bijan Robinson,Texas,RB,71,215,9.75,31.125,,4.46,,37,124,,,,539,3410,6.3,33,60,805,13.4,8,3,31
2023,Chris Rodriguez Jr.,Kentucky,RB,72,217,8.625,30.625,,,,,,,,,592,3643,6.2,33,20,116,5.8,3,5,44
2023,Tyjae Spears,Tulane,RB,70,201,10,30.75,,,,39,125,,,,427,2910,6.8,31,48,564,11.8,3,4,34
2023,Tavion Thomas,Utah,RB,72,237,9.25,31.125,,4.74,,30,118,,,,475,2484,5.2,35,10,50,5,0,4,35
2023,SaRodorick Thompson,Texas Tech,RB,71.5,207,9,31.625,,4.67,,32.5,120,4.7,7.25,,540,2664,4.9,40,91,526,5.8,1,5,50
2023,Sean Tucker,Syracuse,RB,69,207,9.5,30,,,,,,,,,589,3182,5.4,27,64,622,9.7,4,3,33
2023,Deuce Vaughn,Kansas State,RB,65,179,9.5,27.75,,,,35.5,116,,,,651,3604,5.5,34,116,1280,11,9,3,37
2024,Jonathon Brooks,Texas,RB,72,216,9.25,31.5,,,,,,,,,238,1479,6.2,16,28,335,12,2,3,22
2024,Trey Benson,Florida State,RB,72.38,216,9.25,31.5,,4.39,,33.5,122,,,,316,1918,6.1,24,33,371,11.2,1,3,36
2024,Blake Corum,Michigan,RB,67.63,205,9,28.88,,4.53,27,35.5,,,,,675,3737,5.5,58,56,411,7.3,3,4,45
2024,Bucky Irving,Oregon,RB,69.13,192,9.5,29.5,,4.55,,29.5,115,,,,475,2937,6.2,20,95,785,8.3,5,3,39
2024,Audric Estime,Notre Dame,RB,71.25,221,10.25,32.38,,4.71,23,38,125,,,,373,2321,6.2,29,26,277,10.7,1,3,37
2024,Ray Davis,Kentucky,RB,68.38,211,8.88,30.25,,4.52,,35,119,,,,746,3626,4.9,29,94,762,8.1,12,5,44
2024,Marshawn Lloyd,USC,RB,69.13,220,8.75,30.38,,4.46,25,36,118,,,,291,1621,5.6,19,34,452,13.2,2,3,32
2024,Jaylen Wright,Tennessee,RB,70.63,210,9.38,31.5,,4.38,,38,134,,,,368,2297,6.2,18,30,171,5.7,0,3,34
2024,Will Shipley,Clemson,RB,71.25,206,9.63,30.25,,,,,,,,,526,2748,5.2,31,85,602,7.1,2,3,36
2024,Braelon Allen,Wisconsin,RB,73,235,9.25,31.25,,4.61,,33.5,116,,,,597,3494,5.9,35,49,275,5.6,0,3,35
2024,Tyrone Tracy,Purdue,RB,70.88,209,9.13,31.75,,4.48,,40,124,,,,1146,947,6.5,10,113,1201,10.6,5,6,61
2024,Dylan Laube,New Hampshire,RB,69.75,206,9.25,29.38,,4.54,23,37,118,,,,556,2773,4.98,29,171,1791,10.5,14,6,46
2024,Kimani Vidal,Troy,RB,67.63,213,9.38,30.38,,4.46,18,37.5,120,,,,781,4010,5.1,33,92,700,7.6,1,4,48
2024,Cody Schrader,Missouri,RB,68.63,202,9.13,28.13,,4.61,,33,,,,,446,2372,5.3,23,41,328,8,0,2,26
2024,Frank Gore Jr.,Southern Mississippi,RB,67.75,201,8.25,29.63,,,12,,,,,,759,4022,5.3,26,75,692,9.2,4,4,47
2024,Jase McClellan,Alabama,RB,69.75,221,10.25,31.13,,,20,,,,,,355,1981,5.6,18,40,409,10.2,6,4,43
2024,Miyan Williams,Ohio State,RB,68.63,229,9,28.63,,,,,,,,,258,1555,6,20,18,143,7.9,0,4,31
2024,Isaiah Davis,South Dakota St.,RB,71.75,218,10.25,31.13,,4.57,23,34.5,119,,,,676,4548,6.7,50,53,487,9.2,1,4,46
2024,Rasheen Ali,Marshall,RB,71.38,206,8.63,31.25,,,,,,,,,514,2831,5.5,39,75,557,7.4,3,4,34
2024,Jawhar Jordan,Louisville,RB,69.63,193,8.5,30.13,,4.56,,,,,,,381,2214,5.8,18,39,476,12.2,1,5,38
2024,Emani Bailey,TCU,RB,67.38,202,9.75,29.88,,4.61,,33.5,122,,,,366,2161,5.9,18,47,380,8.1,1,4,42
2024,Daijun Edwards,Georgia,RB,69.75,207,9.5,29.75,,,,,114,,,,391,2082,5.3,24,37,343,9.3,0,4,51
2024,Isaac Guerendo,Louisville,RB,71.75,221,9.25,30.75,,4.33,,41.5,129,,,,231,1392,6,17,42,358,8.5,1,5,37
2024,Dillon Johnson,Washington,RB,71.75,217,9.38,30,,4.68,,31.5,117,,,,462,2393,5.2,27,173,1054,6.1,1,4,49
2024,Kendall Milton,Georgia,RB,73.63,225,9.63,31.75,,4.62,18,35.5,124,,,,297,1839,6.2,23,12,116,9.7,1,4,41
2024,Keilan Robinson,Texas,RB,68.38,191,9.63,30.63,,4.42,,33,125,,,,121,796,6.6,8,35,332,9.5,3,4,45
2024,Jaden Shirden,Monmouth,RB,67.5,187,9.25,28.75,,4.45,,34.5,117,,,,504,3697,7.3,26,25,158,6.3,1,3,33
2024,Michael Wiley,Arizona,RB,70.63,210,9.25,30,,4.51,,33.5,119,,,,336,1712,5.1,16,123,1150,9.3,12,5,49
2024,George Holani,Boise State,RB,70.25,208,9.75,29.75,,4.52,24,39,127,,,,685,3596,5.2,26,88,777,8.8,8,5,48
2018,Sony Michel,Georgia,RB,70.63,214,9.13,31.25,,4.54,,,,4.21,,,590,3613,6.1,33,64,621,9.7,6,4,47
2018,Derrius Guice,LSU,RB,70.5,224,9.75,30.75,,4.49,,31.5,,,,,471,3074,6.5,29,32,250,7.8,3,3,35
2018,Ronald Jones II,USC,RB,71,205,8.75,31.13,,4.65,,36.5,,,,,591,3619,6.1,39,32,302,9.4,3,3,40
2018,Kerryon Johnson,Auburn,RB,71.5,213,9.75,32.5,,,,40,126,4.29,7.07,,519,2494,4.8,32,55,478,8.7,2,3,36
2018,Rashaad Penny,San Diego State,RB,71,220,9.25,31.25,,4.46,,32.5,120,,,,488,3656,7.5,38,42,479,11.4,6,4,51
2018,Kalen Ballage,Arizona State,RB,73.5,228,9.5,32.75,,4.46,,33.5,122,4.35,6.91,,450,1984,4.4,27,82,684,8.3,2,4,46
2018,Nyheim Hines,North Carolina St.,RB,68.38,198,8.88,30.75,,4.38,,35.5,,4.35,7.18,,258,1400,5.4,13,89,933,10.5,1,3,38
2018,Mark Walton,Miami,RB,69.63,202,9.25,30,,4.6,,31.5,118,,,,395,2006,5.1,26,56,624,11.1,2,3,31
2018,Jaylen Samuels,North Carolina St.,TE,71.5,225,9.5,31.25,,4.54,,34.5,121,4.28,6.93,,182,1107,6.1,28,201,1851,9.2,19,4,50
2018,Akrum Wadley,Iowa,RB,69.88,194,8.25,29.5,,4.54,,32,,,,,536,2872,5.4,28,71,761,10.7,7,4,39
2018,Royce Freeman,Oregon,RB,71.5,229,9.5,32,,4.54,,34,118,4.16,6.9,,947,5621,5.9,60,79,814,10.3,4,4,51
2018,Josh Adams,Notre Dame,RB,73.63,213,9.25,33.75,,,,,,,,,480,3201,6.7,20,41,336,8.2,2,3,37
2018,Kyle Hicks,TCU,RB,69.63,204,9.5,32.5,,4.63,,36.5,122,,,,444,2101,4.7,19,102,930,9.1,4,4,47
2018,John Kelly,Tennessee,RB,69.88,216,9.38,31.38,,,,35,120,4.51,7.13,,327,1573,4.8,15,43,350,8.1,0,3,29
2018,Chase Edmonds,Fordham,RB,69.13,205,9.13,31.13,,4.55,,34,122,4.07,6.79,,938,5862,6.2,67,86,905,10.5,7,4,44
2018,Roc Thomas,Jacksonville State,RB,70.13,198,9.25,31.63,,4.56,,35.5,125,,,,305,1847,6.1,20,37,417,11.3,1,2,21
2018,Justin Jackson,Northwestern,RB,71.63,199,9.25,30.63,,4.52,,38.5,122,4.07,6.81,,1142,5440,4.8,41,122,858,7,1,4,51
2018,Ralph Webb,Vanderbilt,RB,69.25,202,9.25,30.25,,4.49,,36,122,4.15,7.13,,931,4178,4.5,32,68,572,8.4,3,4,49
2018,Ito Smith,Southern Mississippi,RB,68.63,200,9.38,28.88,,4.45,,36.5,119,4.56,7.22,,436,2587,5.9,27,92,974,10.6,5,2,27
2018,Lavon Coleman,Washington,RB,70.75,215,9.25,30.5,,4.65,,33,120,4.35,7.16,,374,2000,5.3,12,31,252,8.1,3,4,46
2018,Darrel Williams,LSU,RB,71.63,225,9.38,31,,4.72,,32,109,4.21,7.2,,321,1651,5.1,19,38,462,12.2,0,4,44
2018,Bo Scarbrough,Alabama,RB,73.38,228,10.5,33.5,,4.52,,40,129,4.34,,,267,1512,5.7,20,21,131,6.2,0,3,31
2018,D'Ernest Johnson,South Florida,RB,70.63,200,9.63,31,,4.81,,30.5,117,4.34,7.23,,421,1796,4.3,16,72,899,12.5,12,4,49
2018,Phillip Lindsay,Colorado,RB,67.25,184,8.63,30.88,,4.39,,35.5,124,4.31,7.12,,765,3775,4.9,36,117,1084,9.3,3,4,41
2018,Justin Crawford,West Virginia,RB,71.38,199,9.13,32,,4.64,,33.5,122,4.44,7.08,,354,2244,6.3,11,22,106,4.8,1,2,25
2018,Jarvion Franklin,Western Michigan,RB,71.5,239,9.25,31.25,,4.63,,30,109,4.31,6.93,,942,4867,5.2,52,61,670,11,4,4,52
2018,Kamryn Pettway,Auburn,RB,71.75,233,9.5,31.25,,4.74,,33.5,116,,,,285,1529,5.4,13,6,58,9.7,0,3,15
2018,Jeffery Wilson,North Texas,RB,71.88,208,9.25,31.5,,4.57,,35,110,4.29,7.2,,561,3204,5.7,32,70,527,7.5,2,4,41
2018,Nick Wilson,Arizona,RB,69.63,199,9.75,29.88,,4.59,,29.5,111,4.26,7.22,,552,3045,5.5,33,19,159,8.4,1,4,38
2017,Christopher Carson,Oklahoma State,RB,72.25,218,9.63,33.25,,4.58,,37,130,4.28,7.53,,213,1076,5.1,13,30,298,9.9,1,2,21
2017,Devin Church,Eastern Illinois,RB,67,198,8.63,30.63,,4.55,,35,115,4.17,6.6,,364,1809,5,16,77,640,8.3,8,2,23
